subset,k,aic
"('HMLLag3', 'VolumeLag2', 'CloseEMA2')",3,5482.49611475654
"('HMLLag3', 'VolumeLag1', 'CloseEMA2')",3,5482.4982906060795
"('CloseLag1', 'HMLLag3', 'VolumeLag2')",3,5482.498413542259
"('CloseLag2', 'HMLLag3', 'VolumeLag1')",3,5482.498466854071
"('CloseLag3', 'HMLLag3', 'VolumeLag2')",3,5482.4999145141
"('CloseLag1', 'HMLLag3', 'VolumeLag1')",3,5482.5005268886425
"('HMLLag3', 'VolumeLag2', 'CloseEMA4')",3,5482.5011781473495
"('CloseLag3', 'HMLLag3', 'VolumeLag1')",3,5482.5024020144865
"('HMLLag3', 'VolumeLag1', 'CloseEMA4')",3,5482.50337514797
"('CloseLag3', 'HMLLag3', 'OMCLag2')",3,5482.505065579921
"('HMLLag3', 'VolumeLag2', 'CloseEMA8')",3,5482.50986773172
"('CloseLag2', 'HMLLag1', 'VolumeLag1')",3,5482.511254644187
"('HMLLag3', 'VolumeLag1', 'CloseEMA8')",3,5482.512042220011
"('HMLLag1', 'VolumeLag1', 'CloseEMA2')",3,5482.512565722186
"('CloseLag2', 'VolumeLag1', 'CloseEMA8')",3,5482.513335323039
"('HMLLag3', 'OMCLag2', 'CloseEMA2')",3,5482.513550632426
"('CloseLag3', 'HMLLag1', 'VolumeLag1')",3,5482.51368594207
"('CloseLag2', 'HMLLag3', 'OMCLag2')",3,5482.513742343052
"('OMCLag1', 'VolumeLag1', 'VolumeLag3')",3,5482.514218949753
"('CloseLag1', 'HMLLag1', 'VolumeLag1')",3,5482.514517536765
"('HMLLag3', 'OMCLag2', 'CloseEMA4')",3,5482.514542913378
"('CloseLag1', 'HMLLag3', 'OMCLag2')",3,5482.514758708239
"('HMLLag1', 'VolumeLag1', 'CloseEMA4')",3,5482.516746925691
"('VolumeLag1', 'CloseEMA4', 'CloseEMA8')",3,5482.516825279144
"('HMLLag3', 'OMCLag2', 'CloseEMA8')",3,5482.516996995979
"('CloseLag2', 'VolumeLag2', 'CloseEMA8')",3,5482.51797121362
"('OMCLag2', 'OMCLag3', 'VolumeLag1')",3,5482.520187875196
"('CloseLag2', 'VolumeLag1', 'VolumeLag3')",3,5482.523765409818
"('VolumeLag1', 'VolumeLag3', 'CloseEMA2')",3,5482.523883258726
"('HMLLag3', 'OMCLag2', 'VolumeLag1')",3,5482.524165065929
"('CloseLag1', 'VolumeLag1', 'VolumeLag3')",3,5482.524465364773
"('HMLLag1', 'VolumeLag1', 'CloseEMA8')",3,5482.524684998585
"('CloseLag3', 'VolumeLag1', 'VolumeLag3')",3,5482.52522963734
"('VolumeLag1', 'VolumeLag3', 'CloseEMA4')",3,5482.52563254295
"('VolumeLag2', 'CloseEMA4', 'CloseEMA8')",3,5482.526269730062
"('OMCLag2', 'OMCLag3', 'VolumeLag2')",3,5482.526410454975
"('OMCLag2', 'VolumeLag1', 'VolumeLag2')",3,5482.526948301425
"('HMLLag3', 'OMCLag2', 'VolumeLag2')",3,5482.528584909439
"('VolumeLag1', 'VolumeLag3', 'CloseEMA8')",3,5482.528895061163
"('HMLLag2', 'OMCLag2', 'VolumeLag1')",3,5482.530445402672
"('HMLLag1', 'OMCLag2', 'VolumeLag1')",3,5482.531702753184
"('CloseLag2', 'HMLLag2', 'VolumeLag2')",3,5482.5332472148975
"('HMLLag2', 'VolumeLag2', 'CloseEMA2')",3,5482.534079775163
"('HMLLag2', 'OMCLag2', 'VolumeLag2')",3,5482.534923779104
"('CloseLag1', 'HMLLag2', 'VolumeLag2')",3,5482.536595145586
"('CloseLag3', 'HMLLag2', 'VolumeLag2')",3,5482.536932958779
"('CloseLag2', 'HMLLag1', 'VolumeLag2')",3,5482.537959199859
"('HMLLag1', 'OMCLag2', 'VolumeLag2')",3,5482.538257303556
"('HMLLag2', 'VolumeLag2', 'CloseEMA4')",3,5482.538625566724
"('HMLLag1', 'VolumeLag2', 'CloseEMA2')",3,5482.539454160402
"('CloseLag3', 'HMLLag1', 'VolumeLag2')",3,5482.540281248833
"('CloseLag1', 'HMLLag1', 'VolumeLag2')",3,5482.541318515374
"('CloseLag2', 'HMLLag2', 'VolumeLag1')",3,5482.542193612919
"('HMLLag2', 'VolumeLag1', 'CloseEMA2')",3,5482.542713242664
"('HMLLag1', 'VolumeLag2', 'CloseEMA4')",3,5482.543402114776
"('CloseLag1', 'HMLLag2', 'VolumeLag1')",3,5482.54508696495
"('CloseLag3', 'HMLLag2', 'VolumeLag1')",3,5482.545845174549
"('HMLLag2', 'VolumeLag2', 'CloseEMA8')",3,5482.546735170209
"('HMLLag2', 'VolumeLag1', 'CloseEMA4')",3,5482.547217952004
"('VolumeLag1', 'CloseEMA2', 'CloseEMA8')",3,5482.550078630233
"('HMLLag1', 'VolumeLag2', 'CloseEMA8')",3,5482.551000425477
"('HMLLag2', 'VolumeLag1', 'CloseEMA8')",3,5482.5552047087
"('CloseLag3', 'HMLLag2', 'OMCLag2')",3,5482.555400575763
